Navn;Type;SognNavn;SognKode;KommuneNavn;KommuneKode;RegionNavn;RegionKode;Kopieringsdato
Hover;By;Hover;8757;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover;By;Hover;7906;Vejle;630;Region Syddanmark;1083;23. maj 2013
Hover;Sogn;NULL;;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover;Sogn;NULL;;Vejle;630;Region Syddanmark;1083;23. maj 2013
Hover Gårde;Spredt bebyggelse;Hover;8757;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover Å;Å;Brejning;8755;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover Å;Å;Hover;8757;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover Å;Å;No;8753;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hover Å;Å;Hee;8752;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hoverdal Plantage;Skov/Plantage;Hover;8757;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hoverdal Plantage;Skov/Plantage;Torsted;8756;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hovertoft;By;Hover;7906;Vejle;630;Region Syddanmark;1083;23. maj 2013
Hovgyden;Spredt bebyggelse;Allested;7752;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Hovgård;Anden større gård/Proprietærgård;Hoptrup;8965;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Hovgård;By;Rinkenæs;9025;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Hovgårde;By;Bøstrup;7702;Langeland;482;Region Syddanmark;1083;23. maj 2013
Hovgårde;Bydel;Randlev;8091;Odder;727;Region Midtjylland;1082;23. maj 2013
Hovgårde;Spredt bebyggelse;Bigum;8571;Viborg;791;Region Midtjylland;1082;23. maj 2013
Hovhave;By;Rynkeby;7871;Kerteminde;440;Region Syddanmark;1083;23. maj 2013
Hovhede;Skov/Plantage;Godthåb;9107;Rebild;840;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Godthåb;9107;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Svenstrup;8333;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Ellidshøj;8332;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Svenstrup;8333;Rebild;840;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Øster Hornum;8334;Rebild;840;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Øster Hornum;8334;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hovhede;Skov/Plantage;Ellidshøj;8332;Rebild;840;Region Nordjylland;1081;23. maj 2013
Hovkrog;By;Toksværd;7499;Næstved;370;Region Sjælland;1085;23. maj 2013
Hovmade;Spredt bebyggelse;Hove;8860;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hovmark;Spredt bebyggelse;Folby;8070;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Hovmarken;Sommerhusbebyggelse;Keldby;7486;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Hovmarken;Sommerhusbebyggelse;Elmelunde;7487;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Hovmarken;Spredt bebyggelse;Fanefjord;7491;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Hovmarken;Standsningssted;Lystrup;9146;Aarhus;751;Region Midtjylland;1082;23. maj 2013
Hovslund;By;Øster Løgum;9015;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Hovslund Stationsby;By;Øster Løgum;9015;Aabenraa;580;Region Syddanmark;1083;23. maj 2013
Hovst;By;Vilstrup;8971;Haderslev;510;Region Syddanmark;1083;23. maj 2013
Hovstrup;By;Tårs;8458;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hovsør;By;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hovsør Havn;Bugt;NULL;;NULL;0;NULL;;23. maj 2013
Hovsør Røn;Eng;Østerild;8646;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hovvig;Sommerhusbebyggelse;Nysogn;8763;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hovvig;Sø ID;Rørvig;7259;Odsherred;306;Region Sjælland;1085;23. maj 2013
Hovvinkel;Spredt bebyggelse;Hove;8860;Lemvig;665;Region Midtjylland;1082;23. maj 2013
Hovå;Bæk;Karlby;8234;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Hovå;Bæk;Gjerrild;8238;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Hudevad;Bydel;Rolsted;7883;Faaborg-Midtfyn;430;Region Syddanmark;1083;23. maj 2013
Hug;Spredt bebyggelse;Vedersø;8761;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hugborg Kær;Ager/Mark;Velling;8751;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hugdrup;Spredt bebyggelse;Skæve;8446;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Hugdrup Fælled;Spredt bebyggelse;Skæve;8446;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Hugget;By;Ore;7858;Nordfyns;480;Region Syddanmark;1083;23. maj 2013
Hugkrog;By;Roholte;7535;Faxe;320;Region Sjælland;1085;23. maj 2013
Huholt;By;Ulkebøl;8992;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Hulager;Bydel;Vorde;8563;Viborg;791;Region Midtjylland;1082;23. maj 2013
Hulby;By;Tårnborg;7349;Slagelse;330;Region Sjælland;1085;23. maj 2013
Hulby;By;Vemmelev;7360;Slagelse;330;Region Sjælland;1085;23. maj 2013
Hulbæk;Spredt bebyggelse;Ørum;8636;Viborg;791;Region Midtjylland;1082;23. maj 2013
Hulbæk Hede;Spredt bebyggelse;Ørum;8636;Viborg;791;Region Midtjylland;1082;23. maj 2013
Hulebæk;Bæk;Snesere;7473;Næstved;370;Region Sjælland;1085;23. maj 2013
Hulebæk Huse;By;Øster Egesborg;7479;Vordingborg;390;Region Sjælland;1085;23. maj 2013
Hulebækshuse;Bydel;Vesterborg;7640;Lolland;360;Region Sjælland;1085;23. maj 2013
Hulegård;By;Allerslev;7172;Lejre;350;Region Sjælland;1085;23. maj 2013
Hulemølle;By;Vokslev;8328;Aalborg;851;Region Nordjylland;1081;23. maj 2013
Hulen;Spredt bebyggelse;Dronninglund;8451;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Hulgaden;By;Hyllested;8172;Syddjurs;706;Region Midtjylland;1082;23. maj 2013
Hulgårde;By;Sjørring;8724;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hulhøj;Bakke;Ejerslev;8669;Morsø;773;Region Nordjylland;1081;23. maj 2013
Hulhøj;Bakke;Vind;8748;Herning;657;Region Midtjylland;1082;23. maj 2013
Hulhøj;By;Hylleholt;7523;Faxe;320;Region Sjælland;1085;23. maj 2013
Hulknøse;Gravhøj;Hallund;8419;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Hulkær;Ager/Mark;Grove;8838;Herning;657;Region Midtjylland;1082;23. maj 2013
Hulkær;By;Brørup;8926;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hulkær;By;Holsted;8927;Vejen;575;Region Syddanmark;1083;23. maj 2013
Hullebæk;By;Systofte;7588;Guldborgsund;376;Region Sjælland;1085;23. maj 2013
Hullegård;By;Pedersker;7573;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Hullegård;Spredt bebyggelse;Nyker;7556;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Hulmose;Spredt bebyggelse;Hoven;8786;Ringkøbing-Skjern;760;Region Midtjylland;1082;23. maj 2013
Hulmose Enge;Ager/Mark;Darum;8899;Esbjerg;561;Region Syddanmark;1083;23. maj 2013
Hulsig;By;Skagen;8480;Frederikshavn;813;Region Nordjylland;1081;23. maj 2013
Hulveje;Spredt bebyggelse;Husby;8739;Holstebro;661;Region Midtjylland;1082;23. maj 2013
Hulvig;Spredt bebyggelse;Hodde;8869;Varde;573;Region Syddanmark;1083;23. maj 2013
Humble;By;Humble;7709;Langeland;482;Region Syddanmark;1083;23. maj 2013
Humble;Sogn;NULL;;Langeland;482;Region Syddanmark;1083;23. maj 2013
Humble Kohave;Spredt bebyggelse;Humble;7709;Langeland;482;Region Syddanmark;1083;23. maj 2013
Humble Ålemose;By;Humble;7709;Langeland;482;Region Syddanmark;1083;23. maj 2013
Humbæk;Bæk;Lysabild;8997;Sønderborg;540;Region Syddanmark;1083;23. maj 2013
Humlebæk;By;Karlebo;7452;Fredensborg;210;Region Hovedstaden;1084;23. maj 2013
Humlebæk;By;Humlebæk;7446;Fredensborg;210;Region Hovedstaden;1084;23. maj 2013
Humlebæk;Sogn;NULL;;Fredensborg;210;Region Hovedstaden;1084;23. maj 2013
Humledal;By;Allinge-Sandvig;7560;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Humledal;By;Olsker;7559;Bornholm;400;Region Hovedstaden;1084;23. maj 2013
Humlegårdshuse;By;Rødbyhavn;9082;Lolland;360;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Kværkeby;7370;Køge;259;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Kværkeby;7370;Ringsted;329;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Vigersted;7369;Ringsted;329;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Borup;7214;Køge;259;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Borup;7214;Ringsted;329;Region Sjælland;1085;23. maj 2013
Humleore;Skov/Plantage;Vigersted;7369;Køge;259;Region Sjælland;1085;23. maj 2013
Humlum;By;Humlum;8854;Struer;671;Region Midtjylland;1082;23. maj 2013
Humlum;Sogn;NULL;;Struer;671;Region Midtjylland;1082;23. maj 2013
Hummelborg;Skov/Plantage;Gjesing;8267;Norddjurs;707;Region Midtjylland;1082;23. maj 2013
Hummelhede;Spredt bebyggelse;Jerslev;8416;Brønderslev;810;Region Nordjylland;1081;23. maj 2013
Hummelhøje;Gravhøj;Hjortdal;8710;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Hummelhøje;Gravhøj;Lerup;8391;Jammerbugt;849;Region Nordjylland;1081;23. maj 2013
Hummelmose;Ager/Mark;Hjerm;8820;Struer;671;Region Midtjylland;1082;23. maj 2013
Hummelmose Å;Bæk;Hjerm;8820;Struer;671;Region Midtjylland;1082;23. maj 2013
Hummelmose Å;Bæk;Gimsing;8817;Struer;671;Region Midtjylland;1082;23. maj 2013
Hummelsø;Sø ID;Them;7998;Silkeborg;740;Region Midtjylland;1082;23. maj 2013
Hummelure;Spredt bebyggelse;Lading;8064;Favrskov;710;Region Midtjylland;1082;23. maj 2013
Hummingen;Sommerhusbebyggelse;Gloslunde;7632;Lolland;360;Region Sjælland;1085;23. maj 2013
Hundal;Bydel;Sennels;8644;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hundbjerg;Spredt bebyggelse;Astrup;8460;Hjørring;860;Region Nordjylland;1081;23. maj 2013
Hundborg;By;Hundborg;8728;Thisted;787;Region Nordjylland;1081;23. maj 2013
Hundborg;Sogn;NULL;;Thisted;787;Region Nordjylland;1081;23. maj 2013
